"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ФВх Пз спорт2 ПІ-13-5","05.05.2015","13:10:00","05.05.2015","14:45:00","Ложь","Истина","05.05.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","12.05.2015","13:10:00","12.05.2015","14:45:00","Ложь","Истина","12.05.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","19.05.2015","13:10:00","19.05.2015","14:45:00","Ложь","Истина","19.05.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","26.05.2015","13:10:00","26.05.2015","14:45:00","Ложь","Истина","26.05.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"ФВх Пз спорт2 ПІ-13-5","02.06.2015","13:10:00","02.06.2015","14:45:00","Ложь","Истина","02.06.2015","13:05:00","2","Обычная","ФВх Пз спорт2 ПІ-13-5","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","18.02.2015","07:45:00","18.02.2015","09:20:00","Ложь","Истина","18.02.2015","07:40:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","25.02.2015","07:45:00","25.02.2015","09:20:00","Ложь","Истина","25.02.2015","07:40:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","04.03.2015","07:45:00","04.03.2015","09:20:00","Ложь","Истина","04.03.2015","07:40:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лб 165-5 ПІ-13-5","18.03.2015","07:45:00","18.03.2015","09:20:00","Ложь","Истина","18.03.2015","07:40:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"Філ Пз 314и ПІ-13-5","25.03.2015","07:45:00","25.03.2015","09:20:00","Ложь","Истина","25.03.2015","07:40:00","2","Обычная","Філ Пз 314и ПІ-13-5","Обычный"
"ОJava Пз 287 ПІ-13-5","01.04.2015","07:45:00","01.04.2015","09:20:00","Ложь","Истина","01.04.2015","07:40:00","2","Обычная","ОJava Пз 287 ПІ-13-5","Обычный"
"ОС Лб 165-5 ПІ-13-5","08.04.2015","07:45:00","08.04.2015","09:20:00","Ложь","Истина","08.04.2015","07:40:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"ОJava Пз 287 ПІ-13-5","22.04.2015","07:45:00","22.04.2015","09:20:00","Ложь","Истина","22.04.2015","07:40:00","2","Обычная","ОJava Пз 287 ПІ-13-5","Обычный"
